Symbol,Name,MarketCap,IPOyear,Sector,Industry,Summary Quote
AAPL,Apple Inc.,7.48186E+11,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
GOOGL,Alphabet Inc.,6.36035E+11,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
GOOG,Alphabet Inc.,6.21674E+11,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
MSFT,Microsoft Corporation,5.26307E+11,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft
FB,"Facebook, Inc.",4.30176E+11,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
ORCL,Oracle Corporation,2.04187E+11,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/orcl
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.8089E+11,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsm
INTC,Intel Corporation,1.57563E+11,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/intc
CSCO,"Cisco Systems, Inc.",1.56652E+11,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
IBM,International Business Machines Corporation,1.46167E+11,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm
SAP,SAP SE,1.23554E+11,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sap
AVGO,Broadcom Limited,93418723358,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
DCM,"NTT DOCOMO, Inc",86761393183,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dcm
NVDA,NVIDIA Corporation,82901350000,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvda
QCOM,QUALCOMM Incorporated,81185136609,1991,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/qcom
TXN,Texas Instruments Incorporated,76129102628,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn
ADBE,Adobe Systems Incorporated,68292279477,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
CRM,Salesforce.com Inc,61320420000,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/crm
ITW,Illinois Tool Works Inc.,49782946925,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw
BIDU,"Baidu, Inc.",49706679173,2005,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/bidu
AABA,Altaba Inc.,48722031245,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba
ADP,"Automatic Data Processing, Inc.",45823767432,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp
AMAT,"Applied Materials, Inc.",44070646345,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
ATVI,"Activision Blizzard, Inc",42401047018,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
CTSH,Cognizant Technology Solutions Corporation,39286091429,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
NXPI,NXP Semiconductors N.V.,36818513715,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/nxpi
NOK,Nokia Corporation,35891738324,1994,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/nok
VMW,"Vmware, Inc.",35079514943,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vmw
ETN,"Eaton Corporation, PLC",35045955000,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn
INFY,Infosys Limited,34604818971,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/infy
INTU,Intuit Inc.,33738644157,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/intu
EA,Electronic Arts Inc.,32636486332,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
MU,"Micron Technology, Inc.",32237789564,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu
HPQ,HP Inc.,29559362407,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpq
ADI,"Analog Devices, Inc.",27933242449,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
HPE,Hewlett Packard Enterprise Company,27382646051,2015,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpe
FISV,"Fiserv, Inc.",25763572875,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/fisv
WIT,Wipro Limited,25186931802,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wit
WDC,Western Digital Corporation,24840063784,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/wdc
LRCX,Lam Research Corporation,22469131765,1984,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lrcx
ADSK,"Autodesk, Inc.",21898118915,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adsk
CERN,Cerner Corporation,21643117447,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
DXC,DXC Technology Company,21618775978,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dxc
KYO,Kyocera Corporation,21202296004,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/kyo
SNAP,Snap Inc.,20740819480,2017,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/snap
WDAY,"Workday, Inc.",19774710000,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/wday
OMC,Omnicom Group Inc.,19350337075,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/omc
CHKP,Check Point Software Technologies Ltd.,17941919552,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
INFO,IHS Markit Ltd.,17632543018,2014,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/info
NOW,"ServiceNow, Inc.",17596135701,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/now
SWKS,"Skyworks Solutions, Inc.",17592570502,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks
MCHP,Microchip Technology Incorporated,17390653055,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/mchp
RHT,"Red Hat, Inc.",16827160233,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/rht
SYMC,Symantec Corporation,16708361068,1989,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/symc
XLNX,"Xilinx, Inc.",15693124866,1990,Technology,Semiconductors,http://www.nasdaq.com/symbol/xlnx
CA,CA Inc.,14388851117,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
MSI,"Motorola Solutions, Inc.",14169480525,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/msi
MBLY,Mobileye N.V.,13964348355,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mbly
VRSK,"Verisk Analytics, Inc.",13916663760,2009,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsk
LLL,"L3 Technologies, Inc.",13284316145,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lll
TWTR,"Twitter, Inc.",12899203738,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/twtr
DOV,Dover Corporation,12764915154,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov
STM,STMicroelectronics N.V.,12643325204,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/stm
MXIM,"Maxim Integrated Products, Inc.",12485649939,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxim
DVMT,Dell Technologies Inc.,12261564805,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/dvmt
PNR,Pentair plc.,12215888115,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/pnr
PANW,"Palo Alto Networks, Inc.",12206151958,2012,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/panw
CTXS,"Citrix Systems, Inc.",11907465595,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
AMD,"Advanced Micro Devices, Inc.",11481946514,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
STX,Seagate Technology PLC,11446853025,2002,Technology,Electronic Components,http://www.nasdaq.com/symbol/stx
SNPS,"Synopsys, Inc.",10840401770,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/snps
NTAP,"NetApp, Inc.",10752656753,1995,Technology,Electronic Components,http://www.nasdaq.com/symbol/ntap
JNPR,"Juniper Networks, Inc.",10599356327,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/jnpr
ANET,"Arista Networks, Inc.",10577236612,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/anet
ASX,"Advanced Semiconductor Engineering, Inc.",10391573833,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
ANSS,"ANSYS, Inc.",10299772511,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
IPG,"Interpublic Group of Companies, Inc. (The)",9913313187,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/ipg
URI,"United Rentals, Inc.",9567759523,1997,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/uri
VRSN,"VeriSign, Inc.",9528560155,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/vrsn
